epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.307,1.15823,3.25994,1.33994,0.00384,1,0.61381,0.4713,0.7536,3.12368,0.97475,0.00018337,0.00018337,0.00018337
2,219.589,0.87516,2.17002,1.15957,0.00413,1,0.57847,0.46282,0.76934,2.97296,1.01381,0.000375818,0.000375818,0.000375818
3,313.709,0.80837,1.81741,1.09774,0.00377,1,0.59288,0.48791,0.71446,2.89303,0.94604,0.000560345,0.000560345,0.000560345
4,404.359,0.79701,1.66428,1.04875,0.00366,1,0.61067,0.50936,0.70865,2.87356,0.9425,0.000736951,0.000736951,0.000736951
5,497.572,0.74079,1.50447,1.01409,0.93363,0.41305,0.88224,0.71379,0.78788,2.67121,1.00211,0.000905634,0.000905634,0.000905634
6,589.136,0.74858,1.32787,1.03655,0.896,0.53741,0.71159,0.49903,0.85466,2.88327,1.10031,0.0010664,0.0010664,0.0010664
7,682.26,0.74699,1.32408,1.02561,1,0.69443,0.99313,0.77999,0.76535,2.40638,0.98275,0.00121924,0.00121924,0.00121924
8,774.155,0.74636,1.14358,1.02012,0.93819,0.9,0.97084,0.77941,0.78851,2.00343,0.99547,0.00136416,0.00136416,0.00136416
9,867.03,0.84403,1.27849,1.05266,0.92843,0.83354,0.91526,0.73812,0.8669,2.03307,1.06356,0.00140295,0.00140295,0.00140295
10,960.176,0.75279,1.13616,1.01027,0.85485,0.65186,0.76076,0.61359,0.76214,1.8599,0.98395,0.00136994,0.00136994,0.00136994
11,1051.83,0.70425,1.02691,0.99494,0.95953,0.9444,0.995,0.73324,0.88204,1.60197,1.03685,0.00133693,0.00133693,0.00133693
12,1145.47,0.69902,0.98542,0.97259,0.70618,0.79949,0.78901,0.61014,0.86499,1.72021,1.13811,0.00130393,0.00130393,0.00130393
13,1236.2,0.76728,1.05487,1.02855,0.93432,0.93099,0.98735,0.78218,0.7948,1.12209,0.98479,0.00127092,0.00127092,0.00127092
14,1328.32,0.71932,0.98976,1.00454,0.96085,1,0.98875,0.77962,0.79568,0.92686,0.96151,0.00123791,0.00123791,0.00123791
15,1422.14,0.70487,0.98541,0.99159,0.94988,0.85076,0.97125,0.80978,0.6437,1.0133,0.92277,0.00120491,0.00120491,0.00120491
16,1515.28,0.69885,0.93417,1.00772,0.97893,0.93796,0.995,0.82329,0.70421,0.90693,0.95143,0.0011719,0.0011719,0.0011719
17,1605.68,0.67943,0.95255,0.9802,0.96034,0.96667,0.99147,0.80832,0.73957,1.00731,1.00742,0.00113889,0.00113889,0.00113889
18,1699.13,0.70027,0.88362,0.98215,0.89855,0.933,0.99147,0.83361,0.65891,0.89573,0.93318,0.00110589,0.00110589,0.00110589
